English	Deutsch	Svenska	Nederlands	Français	Español	Português	Italian	Русский	Polski	Ελληνικά	Ελληνικά[T]	Magyar	Suomi	汉语	한국어	日本語	Tiếng Việt	粤语[T]	粤语	闽南语[T]	闽南语	العربية	العربية[T]	हिन्दी	हिन्दी[T]	Gaeilge	Gaeilge[T]	Cymraeg	Монгол	Türkçe	ئۇيغۇرچە	ئۇيغۇرچە[T]	ภาษาไทย	ภาษาไทย[T]	Kiswahili	Bahasa Indonesia	Diné Bizaad	Diné Bizaad[T]
I	ich	jag	ik	je	yo	eu	io	я	ja	εγώ	egó	én	minä	我	나	私	tôi	我	ngo5	我	gua2	أنا	ana	मैं	main	mé	may	i / fi	би	ben	مەن	men	ฉัน	chǎn 	mimi	saya / aku	shí	shee
you	du	du	jij	tu	tú	você	tu	ты	ty	εσύ	esý	te	sinä	你	너	あなた	bạn	你	nei5	汝	li2	أنت	anta (m) / anti (f)	तुम / आप	tum / aap	tú	too	ti / chi	чи	sen	سەن	sen	คุณ	khūn 	wewe	kamu / anda	ni	nee
he	er	han	hij	il	él	ele	lui	он	on	αυτός	aftós	ő	hän	他	그	彼	anh ấy	佢	keoi5	伊	i1	هو	huwa	वह	vah	é / sé	ay / shay	ef / fe	тэр	o	ئۇ	u	เขา	khǎo 	yeye	dia (laki-laki)	bí	bee
she	sie	hon	zij	elle	ella	ela	lei	она	ona	αυτή	aftí	ő	hän	她	그녀	彼女	cô ấy	佢	keoi5	伊	i1	هي	hiya	वह	vah	í / sí	ee / shee	hi	тэр	o	ئۇ	u	เธอ	thē 	yeye	dia (perempuan)	bí	bee
it	es	den / det	het	il/elle	ello	ele/ela	esso	оно	ono	αυτό	aftó	az	se	它	그것	それ	nó	佢	keoi5	伊	i1	هو/هي	huwa / hiya	यह	yah	ea / é	a / ay	e / o	энэ / тэр	o	ئۇ	u	มัน	mān 	ile / lile	itu	bí	bee
we	wir	vi	wij	nous	nosotros	nós	noi	мы	my	εμείς	eméis	mi	me	我们	우리	私たち	chúng tôi	我哋	ngo5 dei6	阮	guan2	نحن	nahnu	हम	ham	muid	mwij	ni	бид	biz	بىز	biz	เรา	rāo 	sisi	kami / kita	nihí	nee-hee
you (plural)	ihr	ni	jullie	vous	vosotros/ustedes	vocês	voi	вы	wy	εσείς	eseís	ti	te	你们	너희	あなたたち	các bạn	你哋	nei5 dei6	恁	lin2	أنتم	antum	तुम लोग	tum log	sibh	shiv	chwi / chi	та нар	siz	سىلەر	siler	พวกคุณ	phûak khūn 	ninyi	kalian	nihí	nee-hee
they	sie	de	zij	ils/elles	ellos/ellas	eles	loro	они	oni	αυτοί	aftoí	ők	he	他们	그들	彼ら	họ	佢哋	keoi5 dei6	伊侬	i1-lang5	هم	hum	वे	ve	iad	ee-ad	hwy / nhw	тэд	onlar	ئۇلار	ular	พวกเขา	phûak khǎo 	wao	mereka	dábí	dah-bee
one	eins	ett	een	un	uno	um	uno	один	jeden	ένα	éna	egy	yksi	一	일	一	một	一	jat1	一	it1	واحد	wahid	एक	ek	a haon	a hay-un	un	нэг	bir	بىر	bir	หนึ่ง	nèung 	moja	satu	tʼááłáʼí	t-ah-thlah-ee
two	zwei	två	twee	deux	dos	dois	due	два	dwa	δύο	dýo	kettő	kaksi	二	이	二	hai	二	ji6	二	ji7	اثنان	ithnan	दो	do	a dó	a doe	dau / dwy	хоёр	iki	ئىككى	ikki	สอง	sǒng 	mbili	dua	naaki	nah-kee
three	drei	tre	drie	trois	tres	três	tre	три	trzy	τρία	tría	három	kolme	三	삼	三	ba	三	saam1	三	sam1	ثلاثة	thalatha	तीन	teen	a trí	a tree	tri / tair	гурав	üç	ئۈچ	üch	สาม	sǎm 	tatu	tiga	tááʼ	tah
four	vier	fyra	vier	quatre	cuatro	quatro	quattro	четыре	cztery	τέσσερα	téssera	négy	neljä	四	사	四	bốn	四	sei3	四	si3	أربعة	arba'a	चार	chaar	a ceathair	a ka-hir	pedwar / pedair	дөрөв	dört	تۆت	töt	สี่	sì 	nne	empat	dį́į́ʼ	deen
five	fünf	fem	vijf	cinq	cinco	cinco	cinque	пять	pięć	πέντε	pénte	öt	viisi	五	오	五	năm	五	ng5	五	goo2	خمسة	khamsa	पाँच	paanch	a cúig	a koo-ig	pump	тав	beş	بەش	besh	ห้า	hâ 	tano	lima	ashdlaʼ	ash-dlah
six	sechs	sex	zes	six	seis	seis	sei	шесть	sześć	έξι	éxi	hat	kuusi	六	육	六	sáu	六	luk6	六	lak8	ستة	sitta	छह	chhah	a sé	a shay	chwech	зургаа	altı	ئالتە	alte	หก	hòk 	sita	enam	hastą́ą́	hahs-tahn
seven	sieben	sju	zeven	sept	siete	sete	sette	семь	siedem	επτά	eptá	hét	seitsemän	七	칠	七	bảy	七	cat1	七	tshit1	سبعة	sab'a	सात	saat	a seacht	a shakht	saith	долоо	yedi	يەتتە	yette	เจ็ด	chèt 	saba	tujuh	tsostsʼid	tsos-tsid
eight	acht	åtta	acht	huit	ocho	oito	otto	восемь	osiem	οκτώ	októ	nyolc	kahdeksan	八	팔	八	tám	八	baat3	八	pueh1	ثمانية	thamanya	आठ	aath	a hocht	a hokht	wyth	найм	sekiz	سەككىز	sekkiz	แปด	pàet 	nane	delapan	tseebíí	tsee-bee
nine	neun	nio	negen	neuf	nueve	nove	nove	девять	dziewięć	εννέα	ennéa	kilenc	yhdeksän	九	구	九	chín	九	gau2	九	kau2	تسعة	tis'a	नौ	nau	a naoi	a nee	naw	ес	dokuz	توققۇز	toqquz	เก้า	kâo 	tisa	sembilan	náhástʼéí	nah-has-t-ay
ten	zehn	tio	tien	dix	diez	dez	dieci	десять	dziesięć	δέκα	déka	tíz	kymmenen	十	십	十	mười	十	sap6	十	tsap8	عشرة	'ashara	दस	das	a deich	a jyeh	deg	арав	on	ئون	on	สิบ	sìp 	kumi	sepuluh	neeznáá	neez-nah
eleven	elf	elva	elf	onze	once	onze	undici	одиннадцать	jedenaście	έντεκα	énteka	tizenegy	yksitoista	十一	十一	十一	mười một	十一	sap6 jat1	十一	tsap8-it1	أحد عشر	ahada 'ashar	ग्यारह	gyaarah	a haon déag	a hay-un jay-ug	un ar ddeg	арван нэг	on bir	ئون بىر	on bir	สิบเอ็ด	sìp èt 	kumi na moja	sebelas	łaʼtsáadah	thla-tsah-dah
twelve	zwölf	tolv	twaalf	douze	doce	doze	dodici	двенадцать	dwanaście	δώδεκα	dódeka	tizenkettő	kaksitoista	十二	十二	十二	mười hai	十二	sap6 ji6	十二	tsap8-ji7	اثنا عشر	ithna 'ashar	बारह	baarah	a dó déag	a doe jay-ug	deuddeg	арван хоёр	on iki	ئون ئىككى	on ikki	สิบสอง	sìp sǒng 	kumi na mbili	dua belas	naakitsáadah	nah-kee-tsah-dah
thirteen	dreizehn	tretton	dertien	treize	trece	treze	tredici	тринадцать	trzynaście	δεκατρία	dekatría	tizenhárom	kolmetoista	十三	十三	十三	mười ba	十三	sap6 saam1	十三	tsap8-sam1	ثلاثة عشر	thalathata 'ashar	तेरह	terah	a trí déag	a tree jay-ug	un ar ddeg ar hugain	арван гурав	on üç	ئون ئۈچ	on üch	สิบสาม	sìp sǎm 	kumi na tatu	tiga belas	tááʼtsáadah	tah-tsah-dah
fourteen	vierzehn	fjorton	veertien	quatorze	catorce	quatorze	quattordici	четырнадцать	czternaście	δεκατέσσερα	dekatéssera	tizennégy	neljätoista	十四	十四	十四	mười bốn	十四	sap6 sei3	十四	tsap8-si3	أربعة عشر	arba'ata 'ashar	चौदह	chaudah	a ceathair déag	a ka-hir jay-ug	pedwar ar ddeg	арван дөрөв	on dört	ئون تۆت	on töt	สิบสี่	sìp sì 	kumi na nne	empat belas	dį́į́ʼtsáadah	deen-tsah-dah
fifteen	fünfzehn	femton	vijftien	quinze	quince	quinze	quindici	пятнадцать	piętnaście	δεκαπέντε	dekapénte	tizenöt	viisitoista	十五	十五	十五	mười lăm	十五	sap6 ng5	十五	tsap8-goo2	خمسة عشر	khamsata 'ashar	पंद्रह	pandrah	a cúig déag	a koo-ig jay-ug	pymtheg	арван тав	on beş	ئون بەش	on besh	สิบห้า	sìp hâ 	kumi na tano	lima belas	ashdlaʼáadah	ash-dlah-ah-dah
sixteen	sechzehn	sexton	zestien	seize	dieciséis	dezesseis	sedici	шестнадцать	szesnaście	δεκαέξι	dekaéxi	tizenhat	kuusitoista	十六	十六	十六	mười sáu	十六	sap6 luk6	十六	tsap8-lak8	ستة عشر	sittata 'ashar	सोलह	solah	a sé déag	a shay jay-ug	un ar pymtheg	арван зургаа	on altı	ئون ئالتە	on alte	สิบหก	sìp hòk 	kumi na sita	enam belas	hastą́ą́ʼáadah	hahs-tahn-ah-dah
seventeen	siebzehn	sjutton	zeventien	dix-sept	diecisiete	dezessete	diciassette	семнадцать	siedemnaście	δεκαεπτά	dekaeptá	tizenhét	seitsemäntoista	十七	十七	十七	mười bảy	十七	sap6 cat1	十七	tshit1-tsap8	سبعة عشر	sab'ata 'ashar	सत्रह	satrah	a seacht déag	a shakht jay-ug	dau ar pymtheg	арван долоо	on yedi	ئون يەتتە	on yette	สิบเจ็ด	sìp chèt 	kumi na saba	tujuh belas	tsostsʼidtsáadah	tsos-tsid-tsah-dah
eighteen	achtzehn	arton	achttien	dix-huit	dieciocho	dezoito	diciotto	восемнадцать	osiemnaście	δεκαοκτώ	dekaoktó	tizennyolc	kahdeksantoista	十八	十八	十八	mười tám	十八	sap6 baat3	十八	tsap8-pueh1	ثمانية عشر	thamanyata 'ashar	अठारह	athaarah	a hocht déag	a hokht jay-ug	deunaw	арван найм	on sekiz	ئون سەككىز	on sekkiz	สิบแปด	sìp pàet 	kumi na nane	delapan belas	tseebíítsáadah	tsee-bee-tsah-dah
nineteen	neunzehn	nitton	negentien	dix-neuf	diecinueve	dezenove	diciannove	девятнадцать	dziewiętnaście	δεκαεννέα	dekaennéa	tizenkilenc	yhdeksäntoista	十九	十九	十九	mười chín	十九	sap6 gau2	十九	tsap8-kau2	تسعة عشر	tis'ata 'ashar	उन्नीस	unnees	a naoi déag	a nee jay-ug	pedwar ar pymtheg	арван ес	on dokuz	ئون توققۇز	on toqquz	สิบเก้า	sìp kâo 	kumi na tisa	sembilan belas	náhástʼéítsáadah	nah-has-t-ay-tsah-dah
twenty	zwanzig	tjugo	twintig	vingt	veinte	vinte	venti	двадцать	dwadzieścia	είκοσι	eíkosi	húsz	kaksikymmentä	二十	二十	二十	hai mươi	二十	ji6 sap6	二十	ji7-tsap8	عشرون	'ishrun	बीस	bees	fiche	fih-heh	ugain	хорь	yirmi	يىگىرمە	yigirme	ยี่สิบ	yîi sìp 	ishirini	dua puluh	naadiin	nah-deen
thirty	dreißig	trettio	dertig	trente	treinta	trinta	trenta	тридцать	trzydzieści	τριάντα	triánta	harminc	kolmekymmentä	三十	三十	三十	ba mươi	三十	saam1 sap6	三十	sam1-tsap8	ثلاثون	thalathun	तीस	tees	tríocha	tree-ukha	deg ar hugain	гуч	otuz	ئوتتۇز	ottuz	สามสิบ	sǎm sìp 	thelathini	tiga puluh	tádiin	tah-deen
forty	vierzig	fyrtio	veertig	quarante	cuarenta	quarenta	quaranta	сорок	czterdzieści	σαράντα	saránta	negyven	neljäkymmentä	四十	四十	四十	bốn mươi	四十	sei3 sap6	四十	si3-tsap8	أربعون	arba'un	चालीस	chaalees	daichead	da-hyud	deugain	дөч	kırk	قىرىق	qiriq	สี่สิบ	sì sìp 	arobaini	empat puluh	dį́į́diin	deen-deen
fifty	fünfzig	femtio	vijftig	cinquante	cincuenta	cinquenta	cinquanta	пятьдесят	pięćdziesiąt	πενήντα	penínta	ötven	viisikymmentä	五十	五十	五十	năm mươi	五十	ng5 sap6	五十	goo2-tsap8	خمسون	khamsun	पचास	pachaas	caoga	kway-guh	hanner cant	тавь	elli	ئەللىك	ellik	ห้าสิบ	hâ sìp 	hamsini	lima puluh	ashdladiin	ash-dlah-deen
sixty	sechzig	sextio	zestig	soixante	sesenta	sessenta	sessanta	шестьдесят	sześćdziesiąt	εξήντα	exínta	hatvan	kuusikymmentä	六十	六十	六十	sáu mươi	六十	luk6 sap6	六十	lak8-tsap8	ستون	sittun	साठ	saath	seasca	shass-kuh	trigain	жаран	altmış	ئاتمىش	atmish	หกสิบ	hòk sìp 	sitini	enam puluh	hastą́diin	hahs-tahn-deen
seventy	siebzig	sjuttio	zeventig	soixante-dix	setenta	setenta	settanta	семьдесят	siedemdziesiąt	εβδομήντα	evdomínta	hetven	seitsemänkymmentä	七十	七十	七十	bảy mươi	七十	cat1 sap6	七十	tshit1-tsap8	سبعون	sab'un	सत्तर	sattar	seachtó	shakht-o	deg a thrigain	далан	yetmiş	يەتمىش	yetmish	เจ็ดสิบ	chèt sìp 	sabini	tujuh puluh	tsostsʼidiin	tsos-tsid-een
eighty	achtzig	åttio	tachtig	quatre-vingts	ochenta	oitenta	ottanta	восемьдесят	osiemdziesiąt	ογδόντα	ogdónta	nyolcvan	kahdeksankymmentä	八十	八十	八十	tám mươi	八十	baat3 sap6	八十	pueh1-tsap8	ثمانون	thamanun	अस्सी	assee	ochtó	hokht-o	pedwar ugain	наян	seksen	سەكسەن	seksen	แปดสิบ	pàet sìp 	themanini	delapan puluh	tseebíidiin	tsee-bee-deen
ninety	neunzig	nittio	negentig	quatre-vingt-dix	noventa	noventa	novanta	девяносто	dziewięćdziesiąt	ενενήντα	enenínta	kilencven	yhdeksänkymmentä	九十	九十	九十	chín mươi	九十	gau2 sap6	九十	kau2-tsap8	تسعون	tis'un	नब्बे	nabbe	nócha	no-kha	deg a phedwar ugain	ерэн	doksan	توقسان	toqsan	เก้าสิบ	kâo sìp 	tisini	sembilan puluh	náhástʼéidiin	nah-has-t-ay-deen
hundred	hundert	hundra	honderd	cent	cien	cem	cento	сто	sto	εκατό	ekató	száz	sata	百	百	百	trăm	百	baak3	百	pah1	مئة	mi'a	सौ	sau	céad	kyay-ud	cant	зуу	yüz	يۈز	yüz	ร้อย	rôi 	mia	seratus	neeznádiin	neez-nah-deen
thousand	tausend	tusen	duizend	mille	mil	mil	mille	тысяча	tysiąc	χίλια	chília	ezer	tuhat	千	千	千	nghìn	千	cin1	千	tshian1	ألف	alf	हज़ार	hazaar	míle	mee-leh	mil	мянга	bin	مىڭ	ming	พัน	phān 	elfu	seribu	mííl	meel
